,preds,ans,word
3,V,A,goodie
40,",",^,Carolina
42,V,$,85
43,T,N,degrees
46,!,D,no
47,O,N,one
52,V,A,used
54,D,A,foolish
62,!,V,shrug
65,O,A,Red
66,V,N,wine
69,N,^,china
80,@,N,Vid
82,V,N,footage
84,D,^,Daytona
89,D,N,Ballot
102,N,A,particular
117,!,N,thanks
140,P,R,especially
144,~,#,#Home
151,N,^,htown
162,A,N,drag
165,N,$,2020
171,N,!,Man
175,V,^,Tahj
193,",",R,certainly
205,V,G,se
206,",",~,...
211,P,R,2
222,N,V,discuss
239,Y,V,sighs
241,D,N,Gradpics
249,S,N,sunshine
251,@,G,★ⓕⓤⓒⓚⓘⓝⓕⓞⓛⓛⓞⓦⓝⓞⓦ★
262,O,^,UNC
266,N,R,right
274,S,N,application
283,D,A,minimum
297,V,T,out♥
318,@,^,pkollar
319,~,",",:
328,N,V,realize
341,N,V,realize
348,D,O,DAT
355,N,V,DOWNLOAD
371,D,^,Lindt
374,O,^,US
382,V,G,_
387,T,R,down
389,O,N,controls
390,V,P,below
396,V,G,_
399,",",~,...
401,V,#,#WPF
402,T,#,#2010
406,N,^,Scopa
408,^,$,109A
414,^,",",".,"
419,@,N,Prescription
420,O,N,glasses
424,N,$,6.95
433,N,^,Zenni
434,P,N,Frame
439,E,N,Ad
440,E,",",)
450,N,A,weak
453,P,V,irritate
455,S,N,ear
495,V,E,V____V
499,N,^,Frank
501,R,P,so
505,Y,#,#TeamLighterThanABlackGuyButStillMexicanLikeFrankButHeJustWontAdmitHeIsAMexican
509,!,^,Jream
514,P,N,after
532,@,R,BRICK
535,D,G,RIP
536,N,^,EVAN
542,O,^,#xinnovate
545,V,N,cost
547,O,N,developer
548,V,N,breakfast
549,T,R,back
551,D,V,feed
552,A,$,"100,000"
555,X,^,WeFeedback
561,D,V,flying
568,N,A,bit
586,N,^,Obagi
603,@,V,Shout-out
608,A,^,lil
609,N,Z,webbies
610,",",A,i-n-d-e-p-e-n-d-e-n-t
620,@,!,Ayyye
627,N,R,tonight
636,~,",",...
646,P,N,nuthin
655,R,D,all
667,V,G,n…
676,O,^,durant
678,R,T,around
681,N,$,40
689,V,N,nobody
695,D,^,#Cliffmas
708,N,^,MySpace
718,D,P,that
719,A,S,tonights
735,!,#,#goingtoworkontime
738,@,A,Sugary
739,O,N,Drinks
741,P,V,Raise
742,D,N,Diabetes
744,",",G,:
749,!,^,Amelllll
752,!,G,Yakiiin
759,A,V,mind
760,N,E,..:
761,",",E,(
770,O,D,u
773,A,E,(¬_¬
774,",",E,""""
778,@,$,1895
779,!,^,O
780,O,^,VF20
781,V,^,ANACS
782,O,A,SILVER
783,V,^,Morgan
784,D,N,Dollar
785,A,^,NEW
786,N,^,ORLEANS
789,O,^,US
790,",",G,$
791,!,$,465.00
799,$,^,Tuesday…
804,N,^,house
806,N,^,glam
807,",",E,:
808,$,E,0
809,",",E,(
812,N,R,truly
818,N,",",.:
819,P,^,Manchester
820,D,Z,Uniteds
821,N,A,injury
822,P,A,plagued
823,^,N,striker
829,N,V,miss
830,",",~,...
833,R,P,So
834,O,^,Glee
844,N,A,fabulous
850,P,N,MVP
861,@,N,Journalists
865,P,N,experts
866,O,R,alike
868,P,V,appreciate
871,T,P,out
873,@,^,Dallas
874,~,",",:
881,^,#,#teamlakers
882,",",O,ya'll
889,D,N,a
899,^,Z,Bieber’s
910,A,^,Black
915,R,P,Bout
922,O,D,What
923,V,N,#exhibitors
926,A,R,least
927,N,A,satisfied
931,A,N,trade
933,V,N,display
935,D,#,#exhbiting
936,N,#,#tradeshow
937,",",#,#eventprofs
938,Y,#,#b2b
945,V,N,tune
952,O,V,weren't
959,R,A,better
960,A,N,attention
962,O,^,#HarryPotter
963,V,N,Marathon
974,N,^,flickr
978,N,L,id
979,P,V,re-share
994,^,N,mail
1009,A,$,hundred
1017,N,V,Show
1028,Y,^,-Unknown
1035,^,R,wherever
1057,",",~,...
1060,N,!,hell
1077,N,G,#Make1325real
1088,P,^,Mikey
1094,N,V,hugs
1101,M,N,BANGTIMEEEEEEEEEEEEEEEEEEEE
1103,@,N,Nothin
1115,R,P,out
1120,",",N,muscles
1124,T,P,OUT
1126,Y,#,#sextips
1138,V,N,talk
1148,N,A,MF
1153,N,V,DEAL
1156,V,#,#DEALWITHIT
1161,!,A,funnn
1167,D,O,that
1171,A,N,diff
1173,D,S,someones
1177,R,A,Most
1181,P,N,submission
1182,O,N,engines
1190,D,N,Author
1199,!,A,AMAZINE
1206,@,!,HIGHHHHHH
1215,N,V,believing
1232,N,V,Sleep
1258,D,^,Camp
1259,N,^,Kern
1260,P,N,fundraiser
1261,D,N,pizzas
1262,N,R,tonight
1269,P,N,tile
1270,N,R,tomorrow
1275,A,N,laundry
1284,D,N,candy
1295,P,L,they’re
1296,D,R,all
1298,V,N,gangs
1305,R,!,well
1336,N,A,upcoming
1338,@,N,albums
1339,~,",",:
1348,A,R,only
1350,N,V,Order
1353,V,^,Open
1354,",",^,.
1355,N,^,ph
1358,P,$,2
1359,D,N,months
1362,R,N,Offer
1366,^,$,5th
1370,N,!,man
1372,O,N,petesakes
1378,R,P,Off
1380,N,V,grind
1385,O,^,Macdonalds
1387,P,N,#cheapasses
1394,D,^,mcChicken
1400,P,$,2
1407,N,L,ill
1428,$,^,TribLocal
1433,P,A,off
1445,",",^,walter
1447,N,!,yaw
1449,Y,!,ahahaa
1455,V,A,proud
